IdCliente,Monto,FormatoTransaccion,TipoTransaccion,IdTienda,Fecha,IdProducto,Unidades
5031636,7.9000000000000004,20170102-15-141119207,BOL,59,2017-01-02,@303356         ,1
5114833,67.709999999999994,20170102-8-270074855,BOL,52,2017-01-02,@1970712        ,1
21130128,13.470000000000001,20170102-6-286112676,BOL,50,2017-01-02,@1844202        ,1
21130128,4.1500000000000004,20170102-6-286112676,BOL,50,2017-01-02,@1513249        ,1
21130128,10.93,20170102-6-286112676,BOL,50,2017-01-02,@1616323        ,1
21130128,33.740000000000002,20170102-6-286112676,BOL,50,2017-01-02,@17507          ,2
21130128,16.859999999999999,20170102-6-286112676,BOL,50,2017-01-02,@1348116        ,1
21130128,9.2400000000000002,20170102-6-286112676,BOL,50,2017-01-02,@2003198        ,1
21130128,8.3900000000000006,20170102-6-286112676,BOL,50,2017-01-02,@1844199        ,1
6198533,54.999999999999993,20170102-6-289076929,BOL,50,2017-01-02,@2433389        ,1
21983561,472.88,20170102-26-239006867,BOL,70,2017-01-02,@1004891        ,2
21983561,177.88,20170102-26-239006867,BOL,70,2017-01-02,@1004883        ,1
21983561,279.57999999999998,20170102-26-239006867,BOL,70,2017-01-02,@2085666        ,1
6198533,10.93,20170102-6-289076929,BOL,50,2017-01-02,@355178         ,1
4872552,16.780000000000001,20170102-6-288091099,BOL,50,2017-01-02,@340855         ,2
5167051,25.34,20170102-6-281050745,BOL,50,2017-01-02,@1701681        ,1
6198533,118.31999999999999,20170102-6-289076929,BOL,50,2017-01-02,@277509         ,6
6198533,6.7999999999999998,20170102-6-289076929,BOL,50,2017-01-02,@309400         ,4
6198533,16.859999999999999,20170102-6-289076929,BOL,50,2017-01-02,@1662538        ,1
6198533,13.199999999999999,20170102-6-289076929,BOL,50,2017-01-02,@1198122        ,4
6198533,5.0800000000000001,20170102-6-289076929,BOL,50,2017-01-02,@30963X         ,2
6198533,50.68,20170102-6-289076929,BOL,50,2017-01-02,@484954         ,2
6198533,37.890000000000001,20170102-6-289076929,BOL,50,2017-01-02,@206992X        ,3
6198533,5.5800000000000001,20170102-6-289076929,BOL,50,2017-01-02,@396788         ,6
19253513,100,20170102-10-303128986,BOL,54,2017-01-02,@361771         ,2
5295568,3.3999999999999999,20170102-6-283087082,BOL,50,2017-01-02,@242322         ,4
5001328,241.53,20170102-5-201081471,BOL,49,2017-01-02,@362220         ,1
5001328,64.409999999999997,20170102-5-201081471,BOL,49,2017-01-02,@65013          ,1
7818893,45.719999999999999,20170102-10-305097950,BOL,54,2017-01-02,@186260         ,9
7818893,2.2000000000000002,20170102-10-305097950,BOL,54,2017-01-02,@191922         ,2
7818893,50.68,20170102-10-305097950,BOL,54,2017-01-02,@217689         ,2
7818893,40.359999999999999,20170102-10-305097950,BOL,54,2017-01-02,@239457X        ,4
7818893,8.4600000000000009,20170102-10-305097950,BOL,54,2017-01-02,@206135X        ,2
7818893,69.340000000000003,20170102-10-305097950,BOL,54,2017-01-02,@221716         ,1
7818893,50.579999999999998,20170102-10-305097950,BOL,54,2017-01-02,@2504367        ,3
7818893,69.340000000000003,20170102-10-305097950,BOL,54,2017-01-02,@221732         ,1
7818893,53.520000000000003,20170102-10-305097950,BOL,54,2017-01-02,@44524X         ,8
7818893,18.460000000000001,20170102-10-305097950,BOL,54,2017-01-02,@445258         ,2
7818893,30.34,20170102-10-305097950,BOL,54,2017-01-02,@445282         ,2
7818893,15.26,20170102-10-305097950,BOL,54,2017-01-02,@2264676        ,2
7818893,5.5800000000000001,20170102-10-305097950,BOL,54,2017-01-02,@328901         ,3
7818893,25.34,20170102-10-305097950,BOL,54,2017-01-02,@2276313        ,1
7818893,69.340000000000003,20170102-10-305097950,BOL,54,2017-01-02,@221740         ,1
15023084,6.4699999999999998,20170102-14-181059226,BOL,58,2017-01-02,@49999Y,1
22276763,7.9699999999999998,20170102-5-195129164,BOL,49,2017-01-02,@2049422        ,1
7818893,13.470000000000001,20170102-10-305097950,BOL,54,2017-01-02,@1734962        ,1
7818893,111.89999999999999,20170102-10-305097950,BOL,54,2017-01-02,@445312         ,10
7818893,25.34,20170102-10-305097950,BOL,54,2017-01-02,@217670         ,1
15023084,381.26999999999998,20170102-14-181059226,BOL,58,2017-01-02,@1690612        ,1
15023084,593.13999999999999,20170102-14-181059226,BOL,58,2017-01-02,@1560360        ,1
15023084,1355.8499999999999,20170102-14-181059226,BOL,58,2017-01-02,@2420023        ,1
6563276,152.46000000000001,20170102-18-122115482,BOL,62,2017-01-02,@1221817        ,1
12824534,97.959999999999994,20170102-6-287118035,BOL,50,2017-01-02,@2424894        ,4
5134000,16.859999999999999,20170102-26-229035499,BOL,70,2017-01-02,@82708          ,1
12824534,5.0800000000000001,20170102-6-287118035,BOL,50,2017-01-02,@186252         ,1
5134000,18.32,20170102-26-229035499,BOL,70,2017-01-02,@1474898        ,4
5134000,14.58,20170102-26-229035499,BOL,70,2017-01-02,@1066625        ,2
5067217,88.410000000000011,20170102-30-116047713,BOL,74,2017-01-02,@205924X        ,7
5353737,4.1500000000000004,20170102-15-138129210,BOL,59,2017-01-02,@2389150        ,1
6563276,118.56,20170102-18-122115482,BOL,62,2017-01-02,@1221809        ,1
4765913,228.72999999999999,20170102-5-204005906,BOL,49,2017-01-02,@453064         ,1
4765913,5.6269999999999998,20170102-5-204005906,BOL,49,2017-01-02,@410217         ,2
19578213,177.88,20170102-6-285129638,BOL,50,2017-01-02,@1004883        ,1
6179738,43.719999999999999,20170102-5-196115620,BOL,49,2017-01-02,@137074X        ,4
5053474,375.24000000000001,20170102-25-317083647,BOL,69,2017-01-02,@1197940        ,12
4855435,12.199999999999999,20170102-5-198157445,BOL,49,2017-01-02,@63142          ,10
4855435,9.7599999999999998,20170102-5-198157445,BOL,49,2017-01-02,@63134          ,8
8016654,100.84999999999999,20170102-8-271081042,BOL,52,2017-01-02,@285609         ,1
8016654,27.32,20170102-8-271081042,BOL,52,2017-01-02,@2438763        ,1
4855435,16.02,20170102-5-198157445,BOL,49,2017-01-02,@2015692        ,1
4855435,13.470000000000002,20170102-5-198157445,BOL,49,2017-01-02,@2249790        ,1
4855435,11.779999999999999,20170102-5-198157445,BOL,49,2017-01-02,@1372300        ,1
4855435,156.78,20170102-5-198157445,BOL,49,2017-01-02,@421987         ,1
4833708,48.979999999999997,20170102-5-198157442,BOL,49,2017-01-02,@2424886        ,2
12164089,25.34,20170102-30-109095223,BOL,74,2017-01-02,@2085577        ,1
12164089,5.8499999999999996,20170102-30-109095223,BOL,74,2017-01-02,@439622         ,1
12164089,25.34,20170102-30-109095223,BOL,74,2017-01-02,@2434601        ,1
12164089,8.3900000000000006,20170102-30-109095223,BOL,74,2017-01-02,@484423         ,1
12164089,50.68,20170102-30-109095223,BOL,74,2017-01-02,@1199110        ,2
12164089,18.559999999999999,20170102-30-109095223,BOL,74,2017-01-02,@2092093        ,1
13002445,7.6299999999999999,20170102-15-141119296,BOL,59,2017-01-02,@1046799        ,1
13002445,16.859999999999999,20170102-15-141119296,BOL,59,2017-01-02,@1888773        ,1
13002445,39.32,20170102-15-141119296,BOL,59,2017-01-02,@1980297        ,1
13439952,254.15000000000001,20170102-26-226069545,BOL,70,2017-01-02,@185495X        ,1
5141469,80.590000000000003,20170102-30-116047698,BOL,74,2017-01-02,@2014149        ,1
5141469,6.6900000000000004,20170102-30-116047698,BOL,74,2017-01-02,@1331620        ,1
5141469,263.34000000000003,20170102-30-116047698,BOL,74,2017-01-02,@1576070        ,6
5141469,59.299999999999997,20170102-30-116047698,BOL,74,2017-01-02,@137421         ,5
5141469,19.32,20170102-30-116047698,BOL,74,2017-01-02,@1255045        ,4
5141469,51.859999999999999,20170102-30-116047698,BOL,74,2017-01-02,@2014157        ,1
5141469,4.9199999999999999,20170102-30-116047698,BOL,74,2017-01-02,@235180         ,1
5141469,30.68,20170102-30-116047698,BOL,74,2017-01-02,@150886         ,1
5141469,20.75,20170102-30-116047698,BOL,74,2017-01-02,@2117754        ,5
5141469,86.399999999999991,20170102-30-116047698,BOL,74,2017-01-02,@1702440        ,15
5053474,968.94000000000005,20170102-25-317083647,BOL,69,2017-01-02,@2274949        ,42
7293714,125.08,20170102-5-201081388,BOL,49,2017-01-02,@1197940        ,4
4869568,6.6900000000000004,20170102-14-179119472,BOL,58,2017-01-02,@174125X        ,1
4869568,25.34,20170102-14-179119472,BOL,58,2017-01-02,@1741284        ,1
13809424,16.780000000000001,20170102-5-200089248,BOL,49,2017-01-02,@1716824        ,2
13809424,7.54,20170102-5-200089248,BOL,49,2017-01-02,@1670034        ,1
13809424,42.960000000000001,20170102-5-200089248,BOL,49,2017-01-02,@1360949        ,3
13809424,16.859999999999999,20170102-5-200089248,BOL,49,2017-01-02,@20222          ,1
13809424,25.34,20170102-5-200089248,BOL,49,2017-01-02,@113308X        ,1
4869568,13.470000000000001,20170102-14-179119472,BOL,58,2017-01-02,@1747150        ,1
4869568,21.100000000000001,20170102-14-179119472,BOL,58,2017-01-02,@2339331        ,1
4869568,72.719999999999999,20170102-14-179119472,BOL,58,2017-01-02,@1697269        ,2
4869568,15,20170102-14-179119472,BOL,58,2017-01-02,@135461         ,3
4869568,25.34,20170102-14-179119472,BOL,58,2017-01-02,@1983059        ,1
4869568,135.50999999999999,20170102-14-179119472,BOL,58,2017-01-02,@2232790        ,1
4869568,33.740000000000002,20170102-14-179119472,BOL,58,2017-01-02,@2434717        ,2
4869568,72.719999999999999,20170102-14-179119472,BOL,58,2017-01-02,@173622         ,2
4869568,10,20170102-14-179119472,BOL,58,2017-01-02,@2499991        ,2
4869568,33.810000000000002,20170102-14-179119472,BOL,58,2017-01-02,@481858         ,1
4869568,4.1500000000000004,20170102-14-179119472,BOL,58,2017-01-02,@1467220        ,1
4869568,29.579999999999998,20170102-14-179119472,BOL,58,2017-01-02,@1741292        ,1
4869568,6.6900000000000004,20170102-14-179119472,BOL,58,2017-01-02,@524298         ,1
4869568,145.44,20170102-14-179119472,BOL,58,2017-01-02,@1697285        ,4
4869568,125.42,20170102-14-179119472,BOL,58,2017-01-02,@1674005        ,1
4869568,74.400000000000006,20170102-14-179119472,BOL,58,2017-01-02,@207933X        ,2
4869568,50.759999999999998,20170102-14-179119472,BOL,58,2017-01-02,@2471922        ,1
4869568,13.380000000000001,20170102-14-179119472,BOL,58,2017-01-02,@1971751        ,2
4869568,33.219999999999999,20170102-14-179119472,BOL,58,2017-01-02,@1971735        ,2
4869568,49.07,20170102-14-179119472,BOL,58,2017-01-02,@1154214        ,1
4869568,42.960000000000001,20170102-14-179119472,BOL,58,2017-01-02,@1706632        ,3
4869568,25.34,20170102-14-179119472,BOL,58,2017-01-02,@249289X        ,1
4687870,16.859999999999999,20170102-14-178116078,BOL,58,2017-01-02,@1176668        ,1
4687870,10.08,20170102-14-178116078,BOL,58,2017-01-02,@2051370        ,1
4687870,4.1500000000000004,20170102-14-178116078,BOL,58,2017-01-02,@2502046        ,1
4869568,25.260000000000002,20170102-14-179119473,BOL,58,2017-01-02,@2256215        ,2
4869568,50.759999999999998,20170102-14-179119473,BOL,58,2017-01-02,@2001403        ,1
4869568,126.7,20170102-14-179119473,BOL,58,2017-01-02,@2481448        ,5
4869568,43.719999999999999,20170102-14-179119473,BOL,58,2017-01-02,@1534130        ,4
4869568,67.480000000000004,20170102-14-179119473,BOL,58,2017-01-02,@2481456        ,4
4869568,8.3900000000000006,20170102-14-179119473,BOL,58,2017-01-02,@507423         ,1
21725218,25.260000000000002,20170102-26-236047081,BOL,70,2017-01-02,@233641         ,2
21725218,25.34,20170102-26-236047081,BOL,70,2017-01-02,@528633         ,1
